dataset,filename,filepath,speaker,raw_label,emotion,sample_rate,duration
tess,YAF_youth_disgust.wav,tess/TESS Toronto emotional speech set data/YAF_disgust/YAF_youth_disgust.wav,YAF,disgust,Disgust,24414,2.6742033259605145
tess,OAF_love_sad.wav,tess/TESS Toronto emotional speech set data/OAF_Sad/OAF_love_sad.wav,OAF,sad,Sad,24414,2.575653313672483
tess,OAF_dip_disgust.wav,tess/TESS Toronto emotional speech set data/OAF_disgust/OAF_dip_disgust.wav,OAF,disgust,Disgust,24414,2.220447284345048
tess,YAF_beg_fear.wav,tess/TESS Toronto emotional speech set data/YAF_fear/YAF_beg_fear.wav,YAF,fear,Fear,24414,1.5969935283034324
tess,OAF_soap_fear.wav,tess/TESS Toronto emotional speech set data/OAF_Fear/OAF_soap_fear.wav,OAF,fear,Fear,24414,1.71041205865487
tess,YAF_rat_neutral.wav,tess/TESS Toronto emotional speech set data/YAF_neutral/YAF_rat_neutral.wav,YAF,neutral,Neutral,24414,2.1267715245351027
tess,OAF_sail_disgust.wav,tess/TESS Toronto emotional speech set data/OAF_disgust/OAF_sail_disgust.wav,OAF,disgust,Disgust,24414,2.6094044400753664
tess,OAF_match_neutral.wav,tess/TESS Toronto emotional speech set data/OAF_neutral/OAF_match_neutral.wav,OAF,neutral,Neutral,24414,2.081141967723437
tess,YAF_witch_neutral.wav,tess/TESS Toronto emotional speech set data/YAF_neutral/YAF_witch_neutral.wav,YAF,neutral,Neutral,24414,2.1457770131891536
tess,YAF_keen_angry.wav,tess/TESS Toronto emotional speech set data/YAF_angry/YAF_keen_angry.wav,YAF,angry,Angry,24414,1.94888178913738
tess,OAF_jug_disgust.wav,tess/TESS Toronto emotional speech set data/OAF_disgust/OAF_jug_disgust.wav,OAF,disgust,Disgust,24414,2.328254280330958
tess,YAF_juice_neutral.wav,tess/TESS Toronto emotional speech set data/YAF_neutral/YAF_juice_neutral.wav,YAF,neutral,Neutral,24414,2.2969607602195463
tess,OAF_bite_sad.wav,tess/TESS Toronto emotional speech set data/OAF_Sad/OAF_bite_sad.wav,OAF,sad,Sad,24414,2.7779143114606373
tess,YAF_cab_disgust.wav,tess/TESS Toronto emotional speech set data/YAF_disgust/YAF_cab_disgust.wav,YAF,disgust,Disgust,24414,2.582534611288605
tess,YAF_lore_neutral.wav,tess/TESS Toronto emotional speech set data/YAF_neutral/YAF_lore_neutral.wav,YAF,neutral,Neutral,24414,2.097853690505448
tess,OAF_sail_angry.wav,tess/TESS Toronto emotional speech set data/OAF_angry/OAF_sail_angry.wav,OAF,angry,Angry,24414,1.667772589497829
tess,OAF_death_sad.wav,tess/TESS Toronto emotional speech set data/OAF_Sad/OAF_death_sad.wav,OAF,sad,Sad,24414,2.485213402146309
tess,YAF_have_sad.wav,tess/TESS Toronto emotional speech set data/YAF_sad/YAF_have_sad.wav,YAF,sad,Sad,24414,2.200172032440403
