row_index,source,dataset,filename,filepath,speaker,raw_label,emotion,augmentation,n_samples,real_frames
0,processed,inesco,fcim_a212.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a212.wav,fcim,a,Angry,none,13824,87
1,processed,inesco,fcim_a213.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a213.wav,fcim,a,Angry,none,26112,164
2,processed,inesco,fcim_a214.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a214.wav,fcim,a,Angry,none,22016,138
3,processed,inesco,fcim_a215.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a215.wav,fcim,a,Angry,none,41472,260
4,processed,inesco,fcim_a216.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a216.wav,fcim,a,Angry,none,32256,202
5,processed,inesco,fcim_a217.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a217.wav,fcim,a,Angry,none,15360,97
6,processed,inesco,fcim_a218.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a218.wav,fcim,a,Angry,none,57344,359
7,processed,inesco,fcim_a219.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a219.wav,fcim,a,Angry,none,66048,401
8,processed,inesco,fcim_a220.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a220.wav,fcim,a,Angry,none,34304,215
9,processed,inesco,fcim_a221.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a221.wav,fcim,a,Angry,none,40960,257
10,processed,inesco,fcim_a222.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a222.wav,fcim,a,Angry,none,25088,157
11,processed,inesco,fcim_a223.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a223.wav,fcim,a,Angry,none,35840,225
12,processed,inesco,fcim_a224.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a224.wav,fcim,a,Angry,none,42496,266
13,processed,inesco,fcim_a225.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a225.wav,fcim,a,Angry,none,24576,154
14,processed,inesco,fcim_a226.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a226.wav,fcim,a,Angry,none,24576,154
15,processed,inesco,fcim_a227.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a227.wav,fcim,a,Angry,none,65536,401
16,processed,inesco,fcim_a228.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a228.wav,fcim,a,Angry,none,17920,113
17,processed,inesco,fcim_a229.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a229.wav,fcim,a,Angry,none,51712,324
18,processed,inesco,fcim_a230.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a230.wav,fcim,a,Angry,none,37376,234
19,processed,inesco,fcim_a231.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a231.wav,fcim,a,Angry,none,30208,189
20,processed,inesco,fcim_a232.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a232.wav,fcim,a,Angry,none,38400,241
21,processed,inesco,fcim_a233.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a233.wav,fcim,a,Angry,none,42496,266
22,processed,inesco,fcim_a234.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a234.wav,fcim,a,Angry,none,12800,81
23,processed,inesco,fcim_a235.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a235.wav,fcim,a,Angry,none,11264,71
24,processed,inesco,fcim_a236.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a236.wav,fcim,a,Angry,none,36864,231
25,processed,inesco,fcim_a237.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a237.wav,fcim,a,Angry,none,23040,145
26,processed,inesco,fcim_a238.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a238.wav,fcim,a,Angry,none,29696,186
27,processed,inesco,fcim_a239.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a239.wav,fcim,a,Angry,none,33280,209
28,processed,inesco,fcim_a240.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a240.wav,fcim,a,Angry,none,26624,167
