dataset,filename,filepath,speaker,raw_label,emotion,sample_rate,duration
inesco,fcim_a212.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a212.wav,fcim,a,Angry,44100,2.0000226757369615
inesco,fcim_a213.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a213.wav,fcim,a,Angry,44100,2.875034013605442
inesco,fcim_a214.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a214.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a215.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a215.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a216.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a216.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a217.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a217.wav,fcim,a,Angry,44100,2.0000226757369615
inesco,fcim_a218.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a218.wav,fcim,a,Angry,44100,5.500022675736961
inesco,fcim_a219.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a219.wav,fcim,a,Angry,44100,6.000022675736961
inesco,fcim_a220.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a220.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a221.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a221.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a222.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a222.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a223.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a223.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a224.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a224.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a225.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a225.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a226.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a226.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a227.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a227.wav,fcim,a,Angry,44100,5.500022675736961
inesco,fcim_a228.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a228.wav,fcim,a,Angry,44100,2.5000226757369615
inesco,fcim_a229.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a229.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a230.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a230.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a231.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a231.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a232.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a232.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a233.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a233.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a234.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a234.wav,fcim,a,Angry,44100,2.0000226757369615
inesco,fcim_a235.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a235.wav,fcim,a,Angry,44100,1.5000226757369615
inesco,fcim_a236.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a236.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a237.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a237.wav,fcim,a,Angry,44100,2.5000226757369615
inesco,fcim_a238.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a238.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a239.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a239.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a240.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a240.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a241.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a241.wav,fcim,a,Angry,44100,2.0000226757369615
inesco,fcim_a242.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a242.wav,fcim,a,Angry,44100,5.500022675736961
inesco,fcim_a243.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a243.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a244.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a244.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a245.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a245.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a246.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a246.wav,fcim,a,Angry,44100,2.0000226757369615
inesco,fcim_a247.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a247.wav,fcim,a,Angry,44100,4.500022675736961
inesco,fcim_a248.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a248.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a249.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a249.wav,fcim,a,Angry,44100,3.5000226757369615
inesco,fcim_a250.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a250.wav,fcim,a,Angry,44100,4.500022675736961
inesco,fcim_a251.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a251.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a252.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a252.wav,fcim,a,Angry,44100,4.500022675736961
inesco,fcim_a253.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a253.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a254.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a254.wav,fcim,a,Angry,44100,3.0000226757369615
inesco,fcim_a255.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a255.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a256.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a256.wav,fcim,a,Angry,44100,5.500022675736961
inesco,fcim_a257.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a257.wav,fcim,a,Angry,44100,4.000022675736961
inesco,fcim_a258.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a258.wav,fcim,a,Angry,44100,4.250022675736961
inesco,fcim_a259.wav,/home/dilla/projects/tensorflow-gpu/speech-emotion-recognition/data/raw/inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a259.wav,fcim,a,Angry,44100,4.500022675736961
