filepath,expected_duration,actual_duration
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-01-01-01.wav,3.3033125,1.376
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-01-02-01.wav,3.3366875,1.376
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-02-01-01.wav,3.2699375,1.344
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-02-02-01.wav,3.169875,1.28
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-01-01-01.wav,3.4701875,1.6
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-01-02-01.wav,3.470125,1.792
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-02-01-01.wav,3.536875,1.568
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-02-02-01.wav,3.70375,1.792
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-01-01-01.wav,3.670375,1.696
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-01-02-01.wav,3.637,1.888
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-02-01-01.wav,3.93725,1.984
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-02-02-01.wav,3.9373125,2.016
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-01-01-01.wav,3.8371875,1.856
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-01-02-01.wav,3.57025,1.664
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-02-01-01.wav,3.5035,1.536
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-02-02-01.wav,3.3700625,1.472
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-01-01-01.wav,3.8038125,1.888
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-01-02-01.wav,3.70375,1.728
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-02-01-01.wav,3.737125,1.792
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-02-02-01.wav,3.7370625,1.792
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-01-01-01-01.wav,3.8705625,1.92
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-01-01-02-01.wav,3.9373125,2.048
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-01-02-01-01.wav,3.5035,1.568
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-01-02-02-01.wav,3.7370625,1.792
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-02-01-01-01.wav,4.104125,2.08
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-02-01-02-01.wav,4.3710625,3.2
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-02-02-01-01.wav,4.1375,2.112
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-05-02-02-02-01.wav,4.4378125,2.4
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-01-01-01-01.wav,3.670375,1.728
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-01-01-02-01.wav,3.637,1.76
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-01-02-01-01.wav,3.4368125,3.4048125
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-01-02-02-01.wav,3.7036875,1.952
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-02-01-01-01.wav,5.005,2.88
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-02-01-02-01.wav,4.2375625,2.304
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-02-02-01-01.wav,3.970625,1.824
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-06-02-02-02-01.wav,3.9039375,1.824
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-07-01-01-01-01.wav,3.8705625,2.048
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-07-01-01-02-01.wav,3.9039375,2.016
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-07-01-02-01-01.wav,3.9039375,2.016
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-07-01-02-02-01.wav,3.8371875,1.92
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-07-02-01-01-01.wav,4.3043125,2.336
ravdess/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-07-02-01-02-01.wav,4.104125,2.08
